Muziekweb-ID,Artist,Title
HAX1853-0001,Marco Borsato,Wat is mijn hart (NL)
HAX1853-0002,De Dijk,Niemand in de stad (NL)
HAX1853-0004,Acda & De Munnik,Lopen tot de zon komt (NL)
HAX1853-0021,Guus Meeuwis,Toen ik je zag (NL)
HBX2087-0001,Gérard Lenorman,La ballade des gens heureux (FR)
HCX1490-0001,Peter Maffay,Du (DE)
HCX1490-0005,Falco,Rock me Amadeus (DE)
HEX14751-0004,"Andrea Bocelli, Dua Lipa",If only (EN)
JAX3145-0018,Memphis Minnie ,Killer diller blues (EN)
JK135666-0001,Meat Loaf,Paradis by the dashboard light (EN)
JK135666-0002,Santana,She’s not here (EN)
JK135666-0003,"Dr. Hook, Medicine Show",Sylvia’s mother (EN)
JK135666-0004,Cheap Trick,I want you to want me (EN)
JK135666-0005,Redbone,We were all wounded at wounded Knee (EN)
JK135666-0006,Boston ,More than a feeling (EN)
JK135666-0009,The Emotions,Best of my love (EN)
JK135667-0001,Cyndi Lauper ,Girls just wanna have fun (EN)
JK135667-0002,Terence Trent D’Arby,Wishing well (EN)
JK135667-0003,Bonnie Tyler,Total eclipse of the heart (EN)
JK135667-0004,The Electric Light Orchestra,All over the world (EN)
JK135667-0005,Alison Moyet,The ole devil called love (EN)
JK135667-0006,Spandau Ballet,Through the barricades (EN)
JK135667-0007,"Earth, Wind & Fire ",Let’s groove (EN)
JK135667-0009,Deniece Williams ,Let’s hear it for the boys (EN)
JK135667-0010,Owen Paul,My favourite waste of time (EN)
JK135667-0011,Bill Withers,Lovely day (EN)
JK135667-0012,Spagna,Call me (EN)
JK135667-0013,Fox the Fox,Precious little diamond (EN)
JK135667-0014,Rodney Franklin ,The groove (EN)
JK135667-0015,Fiction Factory,Feels like heaven (EN)
JK135667-0017,Don Johnson,Heartbeat (EN)
JK135667-0018,Shakin’ Stevens,Oh Julie (EN)
JK135667-0019,Toto,Africa (EN)
JK135667-0020,Nicole,Don’t you want my love (EN)
JK135667-0021,Kenny Loggins,This is it (EN)
JK135667-0022,Journey,Don’t stop believing (EN)
JK135667-0023,The Bangles,Eternal flame (EN)
JK135667-0024 ,The Outfield,Your love (EN)
JK135667-0025,The Weather Girls,It’s raining men (EN)
JK135667-0029,The Pasadenas,Tribute (EN)
JK135668-0001,Des’ree,Life (EN)
JK135668-0002,London Beat,I’ve been thinking about you (EN)
JK135668-0003,Ten Sharp,You (EN)
JK135668-0004,De Poema’s,Mijn houten hart (NL)
JK135668-0005,Fugees,Fu-gee-la (EN)
JK135668-0006,Michael Bolton,How am I supposed to live without you (EN)
JK135668-0009,Martika (also in JK135667),Toy soldiers (EN)
JK135668-0011,Brownstone,If you love me EN)
JK135668-0013,B*Witched,C’est la vie (EN)
JK135668-0018,Womack & Womack,Uptown (EN)
JK135670-0002,The Pointer Sisters,Fire (EN)
JK154457-0003,Big Blind,Hold on (EN)
JK155735-0001,Bob Dylan,Like a rolling stone (EN)
JK155735-0002,Simon & Garfunkel,Mrs. Robinson (EN)
JK176222-0001,Actress,R.I.P. (EN)
JK193539-0003,"Ronnie Flex, Mr. Polska",Zusje (NL)
JK215477-0002,"Boef, Sven Alias",Slapend rijk (NL)
JK216338-0003,"Josylvia, 3Robi, Killer Kamal",Westside (NL)
JK218358-0001,Lil’ Kleine,Volume (NL)
JK234026-0003,"Rosanne Cash, Elvis Costello, Kris Kristofferson",8 Gods of Harlem (NL)
